TransactionID,UserID,Amount,Timestamp,Location,DeviceID,TransactionType,FraudLabel
TXN001,U001,1250.50,2025-07-01T09:15:00Z,Mumbai,DEV-001,P2P,0
TXN002,U002,9500.00,2025-07-01T22:30:00Z,Delhi,DEV-002,Transfer,1
TXN003,U003,199.99,2025-07-02T11:05:00Z,Bangalore,DEV-003,BillPay,0
TXN004,U004,750.00,2025-07-02T02:45:00Z,Chennai,DEV-004,P2P,1
TXN005,U005,2500.00,2025-07-03T17:20:00Z,Mumbai,DEV-005,Merchant,0
TXN006,U006,45000.00,2025-07-03T00:10:00Z,Delhi,DEV-006,Transfer,1
TXN007,U007,80.00,2025-07-04T08:00:00Z,Pune,DEV-007,Recharge,0
TXN008,U008,500.00,2025-07-04T13:40:00Z,Hyderabad,DEV-008,BillPay,0
TXN009,U009,35000.00,2025-07-04T23:59:00Z,Mumbai,DEV-009,Withdrawal,1
TXN010,U010,600.00,2025-07-05T10:30:00Z,Delhi,DEV-010,P2P,0
TXN011,U011,1100.00,2025-07-05T19:25:00Z,Bangalore,DEV-011,P2P,0
TXN012,U012,28000.00,2025-07-06T03:15:00Z,Chennai,DEV-012,Online,1
TXN013,U013,420.00,2025-07-06T12:00:00Z,Hyderabad,DEV-013,Recharge,0
TXN014,U014,1450.00,2025-07-07T15:45:00Z,Pune,DEV-014,BillPay,0
TXN015,U015,18000.00,2025-07-07T21:10:00Z,Mumbai,DEV-015,Transfer,1
TXN016,U016,130.00,2025-07-08T07:05:00Z,Delhi,DEV-016,Recharge,0
TXN017,U017,2200.00,2025-07-08T18:50:00Z,Bangalore,DEV-017,P2P,0
TXN018,U018,52000.00,2025-07-09T01:25:00Z,Chennai,DEV-018,Withdrawal,1
TXN019,U019,560.00,2025-07-09T14:35:00Z,Hyderabad,DEV-019,P2P,0
TXN020,U020,300.00,2025-07-10T09:00:00Z,Pune,DEV-020,BillPay,0
TXN021,U021,38000.00,2025-07-10T23:05:00Z,Mumbai,DEV-021,Online,1
TXN022,U022,450.00,2025-07-11T11:45:00Z,Delhi,DEV-022,Recharge,0
TXN023,U023,15500.00,2025-07-11T20:20:00Z,Bangalore,DEV-023,Transfer,1
TXN024,U024,125.00,2025-07-12T06:55:00Z,Chennai,DEV-024,P2P,0
TXN025,U025,2400.00,2025-07-12T16:15:00Z,Hyderabad,DEV-025,BillPay,0
TXN026,U026,62000.00,2025-07-13T02:40:00Z,Pune,DEV-026,Withdrawal,1
TXN027,U027,980.00,2025-07-13T13:25:00Z,Mumbai,DEV-027,P2P,0
TXN028,U028,150.00,2025-07-14T08:35:00Z,Delhi,DEV-028,Recharge,0
TXN029,U029,22000.00,2025-07-14T19:05:00Z,Bangalore,DEV-029,Online,1
TXN030,U030,670.00,2025-07-15T10:10:00Z,Chennai,DEV-030,P2P,0
TXN031,U031,890.00,2025-07-15T14:20:00Z,Kolkata,DEV-031,Merchant,0
TXN032,U032,41000.00,2025-07-15T01:45:00Z,Mumbai,DEV-032,Transfer,1
TXN033,U033,320.00,2025-07-16T09:30:00Z,Delhi,DEV-033,BillPay,0
TXN034,U034,1800.00,2025-07-16T16:00:00Z,Bangalore,DEV-034,P2P,0
TXN035,U035,29000.00,2025-07-16T23:30:00Z,Chennai,DEV-035,Withdrawal,1
TXN036,U036,95.00,2025-07-17T07:15:00Z,Hyderabad,DEV-036,Recharge,0
TXN037,U037,3200.00,2025-07-17T12:45:00Z,Pune,DEV-037,Merchant,0
TXN038,U038,55000.00,2025-07-17T02:20:00Z,Kolkata,DEV-038,Online,1
TXN039,U039,720.00,2025-07-18T10:00:00Z,Mumbai,DEV-039,P2P,0
TXN040,U040,1600.00,2025-07-18T15:30:00Z,Delhi,DEV-040,BillPay,0
TXN041,U041,33000.00,2025-07-18T22:10:00Z,Bangalore,DEV-041,Transfer,1
TXN042,U042,280.00,2025-07-19T08:45:00Z,Chennai,DEV-042,Recharge,0
TXN043,U043,4500.00,2025-07-19T17:20:00Z,Hyderabad,DEV-043,Merchant,0
TXN044,U044,48000.00,2025-07-19T00:55:00Z,Pune,DEV-044,Withdrawal,1
TXN045,U045,550.00,2025-07-20T11:10:00Z,Kolkata,DEV-045,P2P,0
TXN046,U046,2100.00,2025-07-20T14:40:00Z,Mumbai,DEV-046,BillPay,0
TXN047,U047,26000.00,2025-07-20T21:25:00Z,Delhi,DEV-047,Online,1
TXN048,U048,175.00,2025-07-21T06:30:00Z,Bangalore,DEV-048,Recharge,0
TXN049,U049,3800.00,2025-07-21T13:15:00Z,Chennai,DEV-049,Merchant,0
TXN050,U050,59000.00,2025-07-21T03:40:00Z,Hyderabad,DEV-050,Transfer,1
TXN051,U051,420.00,2025-07-22T09:50:00Z,Pune,DEV-051,P2P,0
TXN052,U052,1350.00,2025-07-22T16:25:00Z,Kolkata,DEV-052,BillPay,0
TXN053,U053,37000.00,2025-07-22T23:55:00Z,Mumbai,DEV-053,Withdrawal,1
TXN054,U054,65.00,2025-07-23T07:45:00Z,Delhi,DEV-054,Recharge,0
TXN055,U055,2800.00,2025-07-23T12:20:00Z,Bangalore,DEV-055,Merchant,0
TXN056,U056,44000.00,2025-07-23T01:30:00Z,Chennai,DEV-056,Online,1
TXN057,U057,810.00,2025-07-24T10:40:00Z,Hyderabad,DEV-057,P2P,0
TXN058,U058,1900.00,2025-07-24T15:10:00Z,Pune,DEV-058,BillPay,0
TXN059,U059,31000.00,2025-07-24T20:45:00Z,Kolkata,DEV-059,Transfer,1
TXN060,U060,245.00,2025-07-25T08:20:00Z,Mumbai,DEV-060,Recharge,0
TXN061,U061,5200.00,2025-07-25T13:55:00Z,Delhi,DEV-061,Merchant,0
TXN062,U062,67000.00,2025-07-25T02:15:00Z,Bangalore,DEV-062,Withdrawal,1
TXN063,U063,630.00,2025-07-26T11:25:00Z,Chennai,DEV-063,P2P,0
TXN064,U064,1500.00,2025-07-26T17:00:00Z,Hyderabad,DEV-064,BillPay,0
TXN065,U065,24000.00,2025-07-26T22:35:00Z,Pune,DEV-065,Online,1
TXN066,U066,110.00,2025-07-27T06:50:00Z,Kolkata,DEV-066,Recharge,0
TXN067,U067,3400.00,2025-07-27T14:30:00Z,Mumbai,DEV-067,Merchant,0
TXN068,U068,51000.00,2025-07-27T00:20:00Z,Delhi,DEV-068,Transfer,1
TXN069,U069,780.00,2025-07-28T09:15:00Z,Bangalore,DEV-069,P2P,0
TXN070,U070,2300.00,2025-07-28T16:45:00Z,Chennai,DEV-070,BillPay,0
TXN071,U071,39000.00,2025-07-28T21:10:00Z,Hyderabad,DEV-071,Withdrawal,1
TXN072,U072,195.00,2025-07-29T07:30:00Z,Pune,DEV-072,Recharge,0
TXN073,U073,4100.00,2025-07-29T12:05:00Z,Kolkata,DEV-073,Merchant,0
TXN074,U074,58000.00,2025-07-29T03:50:00Z,Mumbai,DEV-074,Online,1
TXN075,U075,540.00,2025-07-30T10:55:00Z,Delhi,DEV-075,P2P,0
TXN076,U076,1700.00,2025-07-30T15:20:00Z,Bangalore,DEV-076,BillPay,0
TXN077,U077,27000.00,2025-07-30T23:15:00Z,Chennai,DEV-077,Transfer,1
TXN078,U078,85.00,2025-07-31T08:40:00Z,Hyderabad,DEV-078,Recharge,0
TXN079,U079,2900.00,2025-07-31T13:10:00Z,Pune,DEV-079,Merchant,0
TXN080,U080,46000.00,2025-07-31T01:55:00Z,Kolkata,DEV-080,Withdrawal,1
TXN081,U081,710.00,2025-08-01T11:35:00Z,Mumbai,DEV-081,P2P,0
TXN082,U082,1400.00,2025-08-01T17:50:00Z,Delhi,DEV-082,BillPay,0
TXN083,U083,34000.00,2025-08-01T20:30:00Z,Bangalore,DEV-083,Online,1
TXN084,U084,160.00,2025-08-02T06:15:00Z,Chennai,DEV-084,Recharge,0
TXN085,U085,3600.00,2025-08-02T14:45:00Z,Hyderabad,DEV-085,Merchant,0
TXN086,U086,63000.00,2025-08-02T02:40:00Z,Pune,DEV-086,Transfer,1
TXN087,U087,490.00,2025-08-03T09:25:00Z,Kolkata,DEV-087,P2P,0
TXN088,U088,2000.00,2025-08-03T16:00:00Z,Mumbai,DEV-088,BillPay,0
TXN089,U089,29500.00,2025-08-03T22:50:00Z,Delhi,DEV-089,Withdrawal,1
TXN090,U090,220.00,2025-08-04T07:55:00Z,Bangalore,DEV-090,Recharge,0
TXN091,U091,4800.00,2025-08-04T12:30:00Z,Chennai,DEV-091,Merchant,0
TXN092,U092,54000.00,2025-08-04T00:35:00Z,Hyderabad,DEV-092,Online,1
TXN093,U093,650.00,2025-08-05T10:20:00Z,Pune,DEV-093,P2P,0
TXN094,U094,1550.00,2025-08-05T15:55:00Z,Kolkata,DEV-094,BillPay,0
TXN095,U095,42000.00,2025-08-05T21:20:00Z,Mumbai,DEV-095,Transfer,1
TXN096,U096,140.00,2025-08-06T08:10:00Z,Delhi,DEV-096,Recharge,0
TXN097,U097,3100.00,2025-08-06T13:40:00Z,Bangalore,DEV-097,Merchant,0
TXN098,U098,49000.00,2025-08-06T03:25:00Z,Chennai,DEV-098,Withdrawal,1
TXN099,U099,870.00,2025-08-07T11:50:00Z,Hyderabad,DEV-099,P2P,0
TXN100,U100,2600.00,2025-08-07T17:15:00Z,Pune,DEV-100,BillPay,0
TXN101,U101,36000.00,2025-08-07T23:40:00Z,Kolkata,DEV-101,Online,1
TXN102,U102,75.00,2025-08-08T06:45:00Z,Mumbai,DEV-102,Recharge,0
TXN103,U103,4300.00,2025-08-08T14:20:00Z,Delhi,DEV-103,Merchant,0
TXN104,U104,61000.00,2025-08-08T01:15:00Z,Bangalore,DEV-104,Transfer,1
TXN105,U105,580.00,2025-08-09T09:35:00Z,Chennai,DEV-105,P2P,0
